"विवरण 7.2 ख: उद्योगों के अनुसार निजी निगमों में सकल पूंजी निर्माण, सकल स्‍थायी पूंजी निर्माण, स्‍टॉक में अंतर व स्‍थायी पूंजी अवक्षय ( ₹ करोड़)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83
"Statement 7.2B: GCF, GFCF, CIS, CFC by industry for Private Corporations  ( ₹ crore)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,प्रचलित भावों पर  At Current Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,स्थिर (2011-12) भावों पर  At constant (2011-12) Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
क्र.सं.,आर्थिक क्रियाकलाप,2011-12,,,,2012-13,,,,2013-14,,,,2014-15,,,,2015-16,,,,2016-17,,,,2017-18,,,,2018-19,,,,2019-20,,,,2020-21,,,,2011-12,,,,2012-13,,,,2013-14,,,,2014-15,,,,2015-16,,,,2016-17,,,,2017-18,,,,2018-19,,,,2019-20,,,,2020-21,,,,Economic Activity,Sl.no.
,,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,,
,,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,,
1.,"कृषि, वानिकी और मत्‍स्‍यन",2489,1250,3740,601,3936,2277,6213,768,6417,3045,9462,1072,6944,2754,9698,1404,7455,1927,9382,1726,6363.38281330247,1731.88884905347,8095.27166235594,1991.8651601998,6044.028170434,775.688489629,6819.716660063,2216.97862548,4836.4464,1499.5621,6336.0085,2430.024,6219.8675,366.4791,6586.3466,2668.8201,2053.6594,1120.1635,3173.8229,2714.7331,2489,1250,3740,601,3717,2065,5783,735,5914,2485,8399,995,6097,2315,8412,1230,6401,1579,7980,1488,5324.7578951454,1402.5970543586,6727.354949504,1695.8293910535,5055.794842725,654.03277829,5709.827621015,1855.971406373,3910.7501,1178.9068,5089.6569,1964.1094,4749.242,328.0373,5077.2793,2089.4892,1531.6301,818.9487,2350.5788,2073.9458,"agriculture, forestry and fishing",1.
1.1,फसलें,1537,834,2372,511,2678,1345,4023,633,4298,2006,6304,808,4365,1012,5377,1009,5193,1446,6638,1228,4695.28778888052,1566.98862127827,6262.27641015879,1422.43046191508,4603.450833122,521.406464559,5124.857297681,1603.070388927,3474.2872,1136.5124,4610.7996,1771.414,4926.1565,228.1556,5154.3121,1970.5814,1602.5944,924.625,2527.2195,2009.0386,1537,834,2372,511,2528,1208,3736,605,3938,1627,5564,745,3790,791,4581,878,4376,1101,5477,1045,3856.22638806278,1148.7085225388,5004.93491060158,1192.40357326304,3824.982196385,377.489704019,4202.471900404,1325.191166193,2794.4292,816.2161,3610.6453,1414.4832,3710.4862,152.1436,3862.6298,1523.0055,1188.3915,599.6706,1788.062,1515.5844,crops,1.1
1.2,पशुधन,555,140,695,31,791,552,1343,57,1015,294,1309,91,1460,971,2431,148,1192,350,1542,187,615.49175644449,-105.06578263347,510.42597381102,210.1790364906,122.663262714,-75.792043287,46.871219427,211.789365052,420.7094,51.2059,471.9153,226.7976,410.1419,-126.6399,283.502,236.5236,72.9474,56.5074,129.4548,235.6417,555,140,695,31,748,517,1265,55,931,261,1192,85,1306,852,2159,133,1077,319,1396,168,545.18818737868,-94.11522025059,451.0729671281,187.83247312018,102.897448809,-65.966843334,36.930605475,184.573873909,349.7519,42.7387,392.4906,190.8012,336.2606,-103.9563,232.3042,195.5898,55.4277,45.7937,101.2214,191.4479,livestock,1.2
1.3,वानिकी और लट्ठा बनाना,25,199,224,2,71,-1,70,4,78,84,162,11,61,16,78,16,161,37,197,30,147.2770349033,22.36850186656,169.64553676986,37.05090138599,80.526829172,157.974078949,238.500908121,40.535045746,81.906,-1.8581,80.048,45.6247,103.3846,12.8857,116.2702,50.5129,52.8737,-5.1845,47.6891,52.7475,25,199,224,2,66,-1,66,4,74,72,146,10,53,15,68,14,135,32,167,25,126.11759686807,19.26135965213,145.37895652021,31.12465044617,66.432965503,140.065942813,206.498908316,33.492661261,63.7245,-1.7046,62.0199,36.099,81.0822,12.1862,93.2685,39.0237,39.2256,-4.741,34.4846,40.3392,forestry & logging,1.3
